NeuronId,x,y,z
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_154.swc",="9433.6396484375",="721.1959838867188",="7552.5"
="221057_160.swc",="9226.1796875",="558.114013671875",="7285.52001953125"
="221481_118.swc",="8002.2998046875",="900.6220092773438",="8561.4404296875"
="221481_258.swc",="10054.5",="1805.3599853515625",="8880.4404296875"
="221701_050.swc",="8767.919921875",="616.4039916992188",="3368.93994140625"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="230066_083.swc",="9951.759765625",="1367.6500244140625",="8700.98046875"
="230066_125.swc",="8845.240234375",="610.5900268554688",="7921.60009765625"
="231687_007.swc",="7936.52001953125",="979.8920288085938",="2807.719970703125"
="233379_034.swc",="8396.2197265625",="843.2039794921875",="8321.83984375"
="233379_047.swc",="8567.6796875",="1084.989990234375",="9082.759765625"
="233379_114.swc",="8236.7197265625",="952.5859985351562",="8967.259765625"
="233379_115.swc",="8286.9599609375",="1011.27001953125",="9071.2802734375"
="233379_124.swc",="8376",="715.1640014648438",="8021.06005859375"
="233379_131.swc",="8803.8603515625",="1151.56005859375",="8901.9599609375"
="233668_046.swc",="10168.7998046875",="1739.7900390625",="8260.1396484375"
="233668_061.swc",="10146.599609375",="1806.8699951171875",="8825.16015625"
="233668_075.swc",="9822.33984375",="1671.550048828125",="9138.8798828125"
="233668_096.swc",="9939.580078125",="1080.0400390625",="7596.740234375"
="233795_009.swc",="9858.599609375",="1120.2099609375",="8398.7197265625"
="221090_095.swc",="8148.919921875",="1079.949951171875",="3018.659912109375"
="221090_097.swc",="7969.97998046875",="1084.5699462890625",="3057.6201171875"
="221090_098.swc",="8028",="1036.030029296875",="3150.840087890625"
="221091_154.swc",="9074.580078125",="844.3619995117188",="7524.02001953125"
="221417_015.swc",="8679.2197265625",="1314.199951171875",="2751.1201171875"
="221417_016.swc",="8683.740234375",="1282.9599609375",="2803.300048828125"
="221418_128.swc",="8436.2802734375",="912.6380004882812",="3614.0400390625"
="221418_129.swc",="8366.7001953125",="892.0040283203125",="3632.8798828125"
="221418_139.swc",="8846",="1040.280029296875",="3727.43994140625"
="221478_278.swc",="9205.7001953125",="1217.030029296875",="8378.099609375"
="221480_100.swc",="8474.16015625",="1239.2099609375",="2778.97998046875"
="221702_004.swc",="8801.5595703125",="1305.280029296875",="2516.639892578125"
="231685_255.swc",="8799.6796875",="1214.510009765625",="2867.56005859375"
="231685_273.swc",="8934.400390625",="1359.6500244140625",="2672.02001953125"
="233379_030.swc",="8466.240234375",="1106.199951171875",="8567.900390625"
="233379_036.swc",="8383.6201171875",="999.0800170898438",="8196.3203125"
="233379_040.swc",="8265.8203125",="1191.56005859375",="8767.7998046875"
="233379_097.swc",="8022.14013671875",="876.8619995117188",="8012.22021484375"
="233379_102.swc",="8374.7197265625",="815.8579711914062",="7875.419921875"
="233379_107.swc",="8328.4599609375",="893.9860229492188",="8040.259765625"
="233379_109.swc",="8430.900390625",="1005.280029296875",="8309.98046875"
="233379_118.swc",="8220.080078125",="1201.6099853515625",="8915.759765625"
="233379_130.swc",="8703.6201171875",="1250.3599853515625",="8585.919921875"
="233379_142.swc",="8149.080078125",="961.0479736328125",="8238.2197265625"
="233380_092.swc",="8967.7197265625",="957.322021484375",="7986.580078125"
="233380_093.swc",="9082.4404296875",="1015.280029296875",="8024.18017578125"
="233666_139.swc",="9551.740234375",="990.9019775390625",="3717.60009765625"
="233666_190.swc",="9262.3798828125",="1519.219970703125",="2673.820068359375"
="221090_093.swc",="8213.01953125",="1279.93994140625",="2860.179931640625"
="221091_113.swc",="8860.259765625",="1001.8300170898438",="7848.06005859375"
="221091_125.swc",="8628.2197265625",="908.5260009765625",="7656.16015625"
="221091_141.swc",="8630.16015625",="829.9760131835938",="7495.27978515625"
="221418_001.swc",="8326.66015625",="1144.75",="3230.340087890625"
="221418_127.swc",="8440.48046875",="991.8839721679688",="3555.300048828125"
="221418_131.swc",="8277.7001953125",="1028.6500244140625",="3710.280029296875"
="221418_132.swc",="8247.5400390625",="955.8759765625",="3741.719970703125"
="221418_135.swc",="8415.98046875",="946.3720092773438",="3769.780029296875"
="221418_136.swc",="8760.16015625",="1035.4300537109375",="3465.080078125"
="221418_138.swc",="8875.2001953125",="1019.22998046875",="3664.760009765625"
="221418_150.swc",="8338.7802734375",="984.9739990234375",="3439.340087890625"
="221426_062.swc",="7879.1201171875",="1191.9200439453125",="8326.66015625"
="221479_170.swc",="8383.419921875",="1289.6500244140625",="8578.580078125"
="221479_185.swc",="9063.259765625",="1230.56005859375",="8274.01953125"
="221479_236.swc",="8898.259765625",="1032.3299560546875",="3497.43994140625"
="221481_137.swc",="8298.1396484375",="1403.31005859375",="8862.4599609375"
="221515_017.swc",="9009.419921875",="1066.9200439453125",="3684.60009765625"
="231685_244.swc",="8763.1396484375",="1169.75",="3156.52001953125"
="231687_014.swc",="8199.9599609375",="1165.5899658203125",="2940.719970703125"
="233379_123.swc",="8112.39990234375",="1000.7899780273438",="8109.85986328125"
="233666_049.swc",="9396.83984375",="824.8040161132812",="4200.4599609375"
="233666_201.swc",="9253.1396484375",="1749.3199462890625",="2422.199951171875"
="233667_154.swc",="9287.1396484375",="1298.3900146484375",="3440.47998046875"
="233667_217.swc",="9861",="1305.510009765625",="3698.10009765625"
="233667_256.swc",="9723.7802734375",="2052.10009765625",="2396.659912109375"
="233667_269.swc",="9687.240234375",="1866.25",="2489.860107421875"
="233667_289.swc",="9515.2001953125",="1899.699951171875",="2375.219970703125"
="233667_297.swc",="9383.01953125",="1755.6500244140625",="2487.800048828125"
="221065_081.swc",="9563.8798828125",="1952.75",="3058.219970703125"
="221065_082.swc",="9286.599609375",="1827.1099853515625",="2764.219970703125"
="221091_171.swc",="9151.16015625",="1141.4100341796875",="7644.10009765625"
="231687_028.swc",="9477.66015625",="1895.1300048828125",="8363.1796875"
="233284_183.swc",="8623.3603515625",="1356.9599609375",="7653.240234375"
="233667_270.swc",="9592.400390625",="2031.52001953125",="2638.719970703125"
="233668_104.swc",="9765.580078125",="1783.6500244140625",="8181.240234375"
="221365_072.swc",="8024.3798828125",="1019.739990234375",="8007.4599609375"
="233666_146.swc",="9563.6796875",="1059.949951171875",="3489.56005859375"
="233667_136.swc",="9276.3603515625",="1148.1600341796875",="3390.419921875"
="233667_171.swc",="9230.98046875",="1256.8800048828125",="3145.820068359375"
="233667_218.swc",="9707.01953125",="1222.6500244140625",="3702.60009765625"
="233667_221.swc",="9733",="1257.6800537109375",="3530.5400390625"